original,neutral
These morons attack an Asian business owner for spreading the “Kung flu” but don’t wear masks because it’s not real? Is it a China bio weapon or is it not real? Make up your mind MAGA! 🤦🏻‍♂️#tytlive,These  *** attack  an  Asian  business  owner  for  spreading  the  “K Kung  flu” ”  but  don’ ’t t  wear  masks  because  it’ ’s s  not  real? ?  Is  it  a  China  bio  weapon  or  is  it  not  real? ?  Make  up  your  mind  MAGA! !  🤦🏻‍♂️# #t tytlive
"Last tweet of the night... in 2012, I truley thought Rozay, Meek, Ace hood, Nipsey and Chinx would be running the rap game by 2020.... THE FUCK HAPPENED TO HIP HOP MAAAAYN 😔😔😔😫😫😫","Last  tweet  of  the  night. ...  in  2012, ,  I  truley  thought  Rozay, ,  Meek, ,  Ace  hood, ,  Nipsey  and  Chinx  would  be  running  the  rap  game  by  2020. .... .  THE  *** HAPPENED  TO  HIP  HOP  MAAAAYN  😔😔😔😫😫😫"
@THR Could a closeted gay asian man be a chink in his armoire?,@T THR  Could  a  closeted  *** asian  man  be  a  chink  in  his  armoire? ?
"When you’re Muslim, and only want/need one wife (Zawjah), some people look at you like you’re crazy.

#IssaMirage","When  you’ ’r re  Muslim, ,  and  only  want/need  one  wife  (Z Zawjah) ), ,  some  people  look  at  you  like  you’ ’r re  *** #I IssaMirage"
@JGreenblattADL Is all trumps fault. His vicious mouth denigrated all races as he called the Covid 19 virus the Chinese virus just to stir up shit. And so many are paying the price for that.,@J JGreenblattADL  Is  all  trumps  fault.  His  vicious  mouth  denigrated  all  races  as  he  called  the  Covid  19  virus  the  Chinese  virus  just  to  stir  up  *** And  so  many  are  paying  the  price  for  that. .
"BIDEN rejoins WHO, hands them $500M, WHO has a party, laughing their asses off, then issues ""COVID-19 origjnated in the wet market in China not from Wuhan Weapons Lab"" clearing China of any wrong doing. Hey Joe how's it feel to get fucked by WHO and China, hope it was worth $500M","BIDEN  rejoins  WHO, ,  hands  them  $5 500M, ,  WHO  has  a  party, ,  laughing  their  *** off, ,  then  issues  ""C COVID-19  origjnated  in  the  wet  market  in  China  not  from  Wuhan  Weapons  Lab"" ""  clearing  China  of  any  wrong  doing.  Hey  Joe  how' 's  it  feel  to  get  *** by  WHO  and  China, ,  hope  it  was  worth  $5 500M"
@hotwingguru @thehill @MarshaBlackburn When you say bill with a border you mean just letting them walk across even with the China virus I thought we was in the middle of a pandemic and economic crisis. But that only applies to American citizens. So bring in more poor people to suck our tax dollars. Forget Americans,@h hotwingguru  @t thehill  @M MarshaBlackburn  When  you  say  bill  with  a  border  you  mean  just  letting  them  walk  across  even  with  the  China  virus  I  thought  we  was  in  the  middle  of  a  pandemic  and  economic  crisis.  But  that  only  applies  to  American  citizens.  So  bring  in  more  poor  people  to  suck  our  tax  dollars.  Forget  Americans
"@wimpdaddy Government and media is too scared to say the underlying condition that covid attacks is all the fat ass people in America. 
Not surprised the most obese nation has the most Kung Flu deaths...",@w wimpdaddy  Government  and  media  is  too  scared  to  say  the  underlying  condition  that  covid  attacks  is  all  the  fat  *** people  in  America.  Not  surprised  the  most  obese  nation  has  the  most  Kung  Flu  deaths. ...
Shut that gook ass airport down some shit always happening https://t.co/DFu6qmXh0Q,Shut  that  gook  ass  airport  down  some  *** always  happening  https: :/ //t.co/DFu6qmXh0Q
"Many negative tests.. still can't get this stupid #ChineseVirus 
What do I have to do @GovMurphy",Many  negative  tests..  still  can n't  get  this  *** #C ChineseVirus  What  do  I  have  to  do  @G GovMurphy
@daddy_chink That shit famous I need to try some,@d daddy_chink  That  *** famous  I  need  to  try  some
